"","primary","colname"
"1","19891053-MTG","19891053-MTEMP"
"2","19891053-SSC","19891053-SOM"
"3","19920001-MTG","19920001-MTEMP"
"4","19920001-SSC","19920001-SOM"
"5","19920194-MTG","19920194-MTEMP"
"6","19920194-SSC","19920194-SOM"
"7","19920200-MTG","19920200-MTEMP"
"8","19920200-SSC","19920200-SOM"
"9","19950030-MTG","19950030-MTEMP"
"10","19950030-SSC","19950030-SOM"
"11","A019/12-MTG","A019-12-MTEMP"
"12","A019/12-SSC","A019-12-SOM"
"13","A051/14-MTG","A051-14-MTEMP"
"14","A051/14-SSC","A051-14-SOM"
"15","A053/11-MTG","A053-11-MTEMP"
"16","A053/11-SSC","A053-11-SOM"
"17","A064/13-MTG","A064-13-MTEMP"
"18","A064/13-SSC","A064-13-SOM"
"19","A074/05-MTG","A074-05-MTEMP"
"20","A074/05-SSC","A074-05-SOM"
"21","A096/14-MTG","A096-14-MTEMP"
"22","A096/14-SSC","A096-14-SOM"
"23","A115/17-MTG","A115-17-MTEMP"
"24","A115/17-SSC","A115-17-SOM"
"25","A127/11-MTG","A127-11-MTEMP"
"26","A127/11-SSC","A127-11-SOM"
"27","A163/17-MTG","A163-17-MTEMP"
"28","A163/17-SSC","A163-17-SOM"
"29","A166/04-MTG","A166-04-MTEMP"
"30","A166/04-SSC","A166-04-SOM"
"31","A210/05-MTG","A210-05-MTEMP"
"32","A210/05-SSC","A210-05-SOM"
"33","A272/15-MTG","A272-15-MTEMP"
"34","A272/15-SSC","A272-15-SOM"
"35","A277/12-MTG","A277-12-MTEMP"
"36","A277/12-SSC","A277-12-SOM"
"37","A282/14-MTG","A282-14-MTEMP"
"38","A282/14-SSC","A282-14-SOM"
"39","A319/11-MTG","A319-11-MTEMP"
"40","A319/11-SSC","A319-11-SOM"
"41","A354/16-MTG","A354-16-MTEMP"
"42","A354/16-SSC","A354-16-SOM"
"43","A402/14-MTG","A402-14-MTEMP"
"44","A402/14-SSC","A402-14-SOM"
"45","DPM16/44-MTG","DPM16-44-MTEMP"
"46","DPM16/44-SSC","DPM16-44-SOM"
"47","PDC016-MTG","PDC016-MTEMP"
"48","PDC016-SSC","PDC016-SOM"
"49","PDC026-MTG","PDC026-MTEMP"
"50","PDC026-SSC","PDC026-SOM"
"51","20185945-SSC","IGF122081"
"52","20152915-SSC","IGF122082"
"53","19960052-SSC","IGF122083"
"54","20131157-SSC","IGF122087"
"55","20060099-SSC","IGF122092"
"56","20110272-MTG","IGF122099"
"57","20060093-MTG","IGF122100"
"58","20130400-SSC","IGF122101"
"59","DPM13/19-MTG","IGF122103"
"60","20050033-SSC","IGF122105"
"61","20030099-MTG","IGF122107"
"62","20152915-MTG","IGF122109"
"63","19980098-MTG","IGF122110"
"64","DPM13/42-MTG","IGF122113"
"65","A153/12-SSC","IGF122117"
"66","A253/12-MTG","IGF122118"
"67","20130400-MTG","IGF122119"
"68","DPM13/19-SSC","IGF122120"
"69","BC454/945-MTG","IGF122122"
"70","19950136-SSC","IGF122124"
"71","20110272-SSC","IGF122127"
"72","20050102-SSC","IGF122128"
"73","A301/10-MTG","IGF122132"
"74","20030099-SSC","IGF122133"
"75","20060099-MTG","IGF122137"
"76","19960052-MTG","IGF122141"
"77","20050102-MTG","IGF122144"
"78","A187/96-SSC","IGF122145"
"79","20196928-MTG","IGF122149"
"80","A153/12-MTG","IGF122150"
"81","20060093-SSC","IGF122154"
"82","DPM13/42-SSC","IGF122156"
"83","A013/03-MTG","IGF122157"
"84","20131157-MTG","IGF122159"
"85","A329/10-SSC","IGF122166"
"86","20196919-SSC","IGF122167"
"87","20174902-MTG","IGF122168"
"88","A248/10-MTG","IGF122170"
"89","20196928-SSC","IGF122172"
"90","20196919-MTG","IGF122173"
"91","20150975-SSC","IGF122182"
"92","20141901-SSC","IGF122183"
"93","20185945-MTG","IGF122184"
"94","20150975-MTG","IGF122191"
"95","A301/10-SSC","IGF122193"
"96","20174902-SSC","IGF122194"
"97","A253/12-SSC","IGF122199"
"98","A248/10-SSC","IGF122201"
"99","20110476-SSC","IGF122203"
"100","A048/13-SSC","IGF122212"
"101","BC454/945-SSC","IGF122215"
"102","20141901-MTG","IGF122220"
"103","A048/13-MTG","IGF122221"
"104","20050033-MTG","IGF122223"
"105","19950136-MTG","IGF122225"
"106","19980098-SSC","IGF122226"
"107","A187/96-MTG","IGF122231"
"108","A029/04-SSC","IGF122234"
"109","A029/04-MTG","IGF122236"
"110","A329/10-MTG","IGF122240"
"111","20110476-MTG","IGF122241"
"112","A013/03-SSC","IGF122246"
