"","PDC016_MTG_P3WH10_001","PDC016_SSC_P4WA1_001","PDC026_MTG_P4WA3_001","PDC026_SSC_P4WA4_001","A019s12_MTG_P2WD10_001","A019s12_SSC_P2WE1_001","A319s11_MTG_P3WE2_001","A319s11_SSC_P3WE3_001","DPM13s19_MTG_P3WF9_001","DPM13s19_SSC_P3WF10_001","20130400_MTG_P1WH9_001","20130400_SSC_P1WH10_001","A048s13_MTG_P2WE9_001","A048s13_SSC_P2WE10_001","A064s13_MTG_P2WF8_001","A064s13_SSC_P2WF9_001","A301s10_MTG_P3WD9_001","A301s10_SSC_P3WD10_001","A127s11_MTG_P2WH3_001","A127s11_SSC_P2WH4_001","A053s11_MTG_P2WF5_001","A053s11_SSC_P2WF6_001","DPM13s42_MTG_P3WG2_001","DPM13s42_SSC_P3WG3_001","20131157_MTG_P2WA3_001","20131157_SSC_P2WA4_001","A051s14_MTG_P2WF2_001","A051s14_SSC_P2WF3_001","A096s14_MTG_P2WG7_001","A096s14_SSC_P2WG8_001","20141901_MTG_P2WA6_001","20141901_SSC_P2WA7_001","BC454s945_MTG_P3WF6_001","BC454s945_SSC_P3WF7_001","A282s14_MTG_P3WD4_001","A282s14_SSC_P3WD5_001","A402s14_MTG_P3WF1_001","A402s14_SSC_P3WF2_001","19920001_MTG_P1WA10_001","19920001_SSC_P1WB1_001","20050033_MTG_P1WF1_001","20050033_SSC_P1WF2_001","A248s10_MTG_P3WC2_001","A248s10_SSC_P3WC3_001","A153s12_MTG_P2WH8_001","A153s12_SSC_P2WH9_001","20050102_MTG_P1WF4_001","20050102_SSC_P1WF5_001","20030099_MTG_P1WE8_001","20030099_SSC_P1WE9_001","20060093_MTG_P1WF7_001","20060093_SSC_P1WF8_001","20060099_MTG_P1WF10_001","20060099_SSC_P1WG1_001","20110272_MTG_P1WG7_001","20110272_SSC_P1WG8_001","20110476_MTG_P1WG10_001","20110476_SSC_P1WH1_001","A187s96a_MTG_P3WB4_001","A187s96a_SSC_P3WB5_001","A013s03_MTG_P2WD7_001","A013s03_SSC_P2WD8_001","A029s04_MTG_P2WE6_001","A029s04_SSC_P2WE7_001","A166s04_MTG_P3WA7_001","A166s04_SSC_P3WA8_001","A074s05a_MTG_P2WG4_001","A074s05a_SSC_P2WG5_001","A210s05a_MTG_P3WB7_001","A210s05a_SSC_P3WB8_001","A329s10_MTG_P3WE5_001","A329s10_SSC_P3WE6_001","A253s12_MTG_P3WC4_001","A253s12_SSC_P3WC6_001","A277s12_MTG_P3WD1_001","A277s12_SSC_P3WD2_001","A272s15_MTG_P3WC8_001","A272s15_SSC_P3WC9_001","A354s16_MTG_P3WE8_001","A354s16_SSC_P3WE9_001","A115s17_MTG_P2WG10_001","A115s17_SSC_P2WH1_001","A163s17_MTG_P3WA4_001","A163s17_SSC_P3WA5_001","19950136_MTG_P1WD4_001","19950136_SSC_P1WD5_001","19960052_MTG_P1WD7_001","19960052_SSC_P1WD8_001","20150975_MTG_P2WB2_001","20150975_SSC_P2WB3_001","20152915_MTG_P2WB5_001","20152915_SSC_P2WB6_001","20174902_MTG_P2WB8_001","20174902_SSC_P2WB9_001","19891053_MTG_P1WA2_001","19891053_SSC_P1WA3_001","19920194_MTG_P1WB8_001","19920194_SSC_P1WB9_001","19920200_MTG_P1WC1_001","19920200_SSC_P1WC2_001","19950030_MTG_P1WD1_001","19950030_SSC_P1WD2_001","19980098_MTG_P1WE3_001","19980098_SSC_P1WE4_001","20185945_MTG_P2WC6_001","20185945_SSC_P2WC7_001","DPM16s44_MTG_P3WG5_001","DPM16s44_SSC_P3WG6_001","20196919_MTG_P2WD1_001","20196919_SSC_P2WD2_001","20196928_MTG_P2WD4_001","20196928_SSC_P2WD5_001"
"IGKV2-28;IGKV2-29;IGKV2-30;IGKV2-40;IGKV2D-26;IGKV2D-28;IGKV2D-29;IGKV2D-30;IGKV2D-40",NA,10.5533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.42346,6.72124,NA,NA,NA,NA,3.88785,NA,11.1654,NA,11.0547,14.4713,NA,3.99571,NA,NA,NA,NA,3.96225,NA,NA,NA,5.10218,NA,9.00915,9.20461,15.0637,6.72605,NA,NA,16.2034,14.7063,NA,NA,NA,NA,18.4459,NA,NA,NA,3.68882,12.4453,9.3207,NA,17.2403,NA,5.00574,NA,5.54408,NA,NA,17.0907,NA,4.75161,NA,NA,5.38514,7.29278,NA,NA,NA,NA,NA,NA,NA,NA,15.9777,12.0123,NA,NA,NA,NA,NA,16.2687,19.767,NA,11.0573,8.56398,NA,NA,12.777,NA,NA,NA,NA,6.55099,7.86146,NA,NA,NA,NA,8.50044,NA,NA,10.4282,NA,NA,NA
"IGKV3-11;IGKV3D-11",NA,25.2438,25.5362,NA,8.9192,NA,18.8309,12.8357,NA,4.85927,15.8909,12.0572,23.2733,NA,19.3712,14.1688,NA,21.09,NA,NA,6.91619,NA,25.8684,36.5245,16.2011,27.1966,19.4775,11.3176,22.2013,16.5632,29.0004,25.7592,34.1199,49.6952,NA,7.1958,16.0128,11.5121,7.50594,28.8275,50.4594,29.9037,17.8132,15.6984,36.3974,33.8458,NA,NA,NA,14.266,12.1294,18.3484,14.8771,24.2501,21.6893,23.2967,29.6322,28.5097,NA,41.0701,18.5962,20.3022,14.8943,19.1534,23.8257,24.0841,23.5465,33.4656,15.4295,9.1968,10.3666,24.7564,NA,NA,26.0118,37.1282,12.3101,23.4219,19.7155,NA,47.4351,NA,NA,35.0713,14.8351,NA,33.9257,26.1513,31.5262,13.6137,23.9609,21.3782,23.5392,26.6575,20.4359,16.139,5.99897,NA,19.5038,26.4508,21.7756,NA,NA,NA,20.2569,40.0535,12.5439,21.8472,32.8512,21.8324,NA,NA
"IGHV3-15;IGHV3-72;IGHV3-73",13.6608,NA,NA,NA,22.4245,NA,83.2431,67.0908,31.3989,25.9722,23.9753,23.1937,NA,NA,29.2494,37.1246,NA,26.2033,NA,NA,NA,25.5197,42.2994,51.344,19.8104,30.7868,28.6973,NA,33.6381,27.2034,30.0959,39.6281,24.8702,34.401,NA,NA,NA,28.6638,NA,40.9227,50.5157,36.624,33.0938,16.7784,40.7808,37.3929,NA,NA,NA,20.2287,NA,NA,NA,29.7507,26.6341,36.5892,46.9548,52.7148,51.6741,76.3039,NA,NA,36.0447,NA,41.0576,47.8123,NA,NA,NA,NA,NA,48.7523,NA,NA,NA,26.9367,NA,29.577,43.953,35.9976,51.1442,32.7211,NA,48.6923,24.4173,NA,50.3144,44.9154,38.5804,29.5375,NA,28.2223,49.2281,56.1266,24.3323,35.2001,NA,NA,21.1846,34.7234,NA,34.3493,NA,NA,16.4883,32.844,48.644,35.3771,NA,44.0596,24.1422,NA
"UBA6",53.9342,60.1973,44.0024,68.3444,60.5918,68.0219,55.8489,58.8743,60.5732,70.7739,33.8567,69.2749,75.381,68.595,66.4172,64.4085,73.4139,63.8299,53.3212,53.2961,53.6194,61.3028,51.1901,61.7246,62.899,59.9082,52.9423,59.791,61.4863,82.217,57.248,68.0039,48.6681,54.8623,48.5423,59.3678,48.4013,48.952,59.8021,74.2571,60.1186,60.3683,60.9992,60.117,59.8904,61.3386,52.0233,60.1975,54.9566,61.2359,63.2917,65.1337,52.4605,60.0776,44.9386,62.2424,47.4034,53.6421,54.8609,87.7967,63.9112,63.4839,66.2893,67.8821,71.8476,49.8271,74.098,62.0956,67.0311,75.0924,53.5991,55.9925,63.9135,58.7204,48.3928,68.2544,66.6336,71.8522,54.916,33.1932,73.8834,60.7682,70.6008,61.171,47.316,68.1112,72.4771,70.9956,56.9053,66.3937,66.8881,68.1387,64.5743,59.8558,56.0073,55.4084,68.0982,51.0587,60.0575,63.4402,61.7552,56.1858,47.7676,53.6185,66.9639,66.032,53.6516,73.3791,95.7079,61.2649,52.8794,61.5911
"ESYT2",15.9353,26.2127,8.79475,33.9497,28.6187,34.6573,43.4119,25.2432,15.498,40.795,NA,42.8931,64.0959,49.0962,38.0582,31.5271,26.7855,42.2128,32.0624,24.5238,23.9976,34.0881,28.5027,45.9788,35.5413,33.0922,38.3499,37.1335,39.1953,43.0802,45.3486,35.0765,31.2718,25.5286,44.7597,40.7462,20.0187,44.4341,15.5259,32.7569,39.1371,41.8167,42.824,13.7118,19.9428,42.4209,18.2872,42.8813,35.4577,34.0349,27.1424,25.8031,40.2676,41.5511,25.7037,27.6617,21.0112,17.9311,31.1971,25.9335,27.8938,24.9611,33.0602,25.28,NA,22.6696,36.5566,30.5938,70.6752,35.6562,25.7811,23.1313,60.7036,39.3559,19.4507,36.1052,24.8203,35.5819,20.4427,7.88512,27.1404,37.3293,25.5888,47.982,14.8837,26.161,35.708,38.5697,39.2786,35.5943,37.2832,44.4696,30.5408,31.3225,31.3349,39.4245,22.1109,21.5973,25.7827,44.331,24.2179,28.7668,38.3267,NA,29.561,39.6092,19.3281,18.8774,59.2419,32.2703,26.5308,37.5488
"SHTN1",42.0856,47.8761,64.7074,65.5901,53.4585,52.4143,62.6747,58.8745,48.8556,45.906,37.6983,67.6486,49.9366,NA,44.2155,20.7802,58.7613,42.5599,56.2661,60.1782,49.7729,50.8545,66.8286,51.9329,51.0844,60.3785,43.7534,52.5609,56.6578,73.4057,35.5758,47.2926,27.7565,40.989,57.6381,50.7249,41.2494,53.6761,57.0089,44.2663,41.9559,43.6031,61.0305,55.7407,55.6715,62.8151,59.9607,51.3707,48.1956,46.4019,46.2196,37.7769,47.7613,47.0417,47.4309,61.4094,51.1058,64.1823,64.4187,77.0628,58.6562,72.9619,67.015,53.9373,67.5575,63.75,65.6929,44.4375,43.5204,37.174,45.668,61.3148,44.591,46.9015,53.4976,50.7345,32.4535,53.9177,55.6187,37.5118,62.4205,55.1696,62.2412,37.4724,58.2617,37.8704,55.2566,50.8208,48.5513,51.4292,34.2026,48.8511,51.1658,48.5901,43.1371,32.6381,43.3212,43.3965,64.0254,51.0726,64.0717,48.2138,48.522,61.1782,62.6588,45.3951,55.4246,55.9447,36.5114,48.2457,55.0145,52.373
"TARS3",NA,20.8807,15.1655,29.6174,25.1836,38.3975,NA,34.3884,30.6715,26.3717,20.1142,35.4893,24.6589,37.897,17.866,21.2332,36.1816,30.2248,22.6672,23.4188,23.1004,24.1402,24.0141,43.4121,29.9857,25.9622,29.4923,24.579,25.0564,24.0354,18.5626,27.6734,31.518,34.8327,25.2229,21.9937,22.439,14.0244,23.8269,24.8925,25.0302,25.767,33.3458,23.4408,25.1623,32.8101,23.2216,31.3115,19.0524,14.4592,28.7483,27.8632,19.3738,19.1664,21.2916,26.2544,23.3063,36.1925,15.2165,24.549,25.9271,19.8099,24.9972,33.0724,46.749,21.6972,31.0452,32.1372,28.9969,21.2708,26.1123,NA,26.2858,33.1754,NA,25.3306,NA,20.1031,29.6154,NA,25.6139,23.1598,26.9477,23.0246,35.4833,18.6022,26.3799,27.3181,14.8838,26.505,29.5481,28.3053,40.4976,28.2984,27.9943,17.7554,27.6992,44.1046,19.7196,30.4105,43.0065,23.9933,23.1628,26.3248,28.0471,27.8342,NA,NA,30.629,33.6188,19.3973,25.7693
"PSD",23.8533,23.5117,15.4614,15.755,22.3523,9.35437,NA,NA,19.3023,NA,NA,NA,17.3405,NA,15.8778,NA,29.2391,16.6902,16.5911,NA,19.5333,12.2779,20.7935,20.0151,16.8772,NA,19.0715,15.1037,17.5828,NA,12.3173,17.6093,23.3753,11.493,NA,NA,16.6954,NA,8.77411,15.3832,25.6782,6.97313,23.7244,NA,13.603,7.5171,11.0232,NA,22.4105,11.9414,18.4653,12.634,16.6011,NA,16.7526,14.6427,17.9396,NA,NA,NA,15.0093,11.9061,17.6793,11.8684,7.91955,NA,15.3291,14.6806,NA,11.1256,17.3655,21.3165,22.608,18.8923,16.0289,10.0109,21.0966,11.0085,18.7286,NA,NA,11.9205,NA,NA,12.9571,6.6891,10.9117,NA,15.2961,NA,20.3706,22.6634,20.3003,13.3561,NA,17.2802,17.9409,7.22905,NA,21.1972,19.3949,NA,14.736,NA,12.8186,22.7986,16.9192,NA,14.3078,NA,20.8181,15.7713
"CARNS1",NA,52.4461,55.1083,79.6265,63.0677,70.0189,45.0547,81.8363,33.6327,34.8402,25.2612,90.9401,62.0263,49.9292,30.4336,29.3794,57.5586,72.6652,37.9277,60.1617,46.2478,56.8693,62.32,58.4737,43.2228,71.97,44.9712,49.3311,62.6026,86.7912,28.9225,42.0887,NA,54.8403,62.9809,47.1733,31.782,41.4149,35.7408,NA,38.8714,60.4765,38.5762,NA,52.6958,62.3576,72.1882,79.7708,42.335,40.8492,42.4943,33.1856,32.8428,64.1918,40.3831,73.1726,37.4606,39.7038,58.6353,116.851,57.3163,73.6189,34.6686,50.2239,62.4177,53.5749,62.6475,35.4901,43.6693,46.1459,18.8208,57.6662,43.9964,51.7236,18.6237,44.5119,24.8941,43.3603,60.4673,34.0087,60.9321,65.5332,64.4122,56.8972,32.9963,64.7163,56.9771,44.1027,38.0391,58.8634,47.9855,49.7843,28.402,NA,60.9518,50.964,33.5208,42.7663,65.1982,55.9198,77.0609,52.7978,43.1101,51.1387,50.4552,40.1068,44.7879,56.9986,NA,35.7935,21.2316,53.4511
"MAP1LC3B;MAP1LC3B2",83.1229,132.094,89.337,121.159,93.0488,105.214,144.404,207.43,84.5831,76.7033,56.6484,146.239,117.995,117.574,98.0735,124.434,80.0675,158.13,120.442,140.216,118.109,116.841,107.043,107.301,121.126,166.236,138.026,135.365,92.1855,96.6301,97.8184,102.057,90.4694,103.988,127.075,114.374,147.506,136.282,86.4283,67.7383,79.9341,182.286,106.674,85.8328,120.353,107.755,74.1166,96.1851,100.659,116.136,86.3447,101.263,108.358,126.457,106.862,173.532,132.677,157.285,110.399,134.006,85.2795,76.3449,108.114,123.566,74.1674,118.869,105.694,98.5698,113.159,142.104,113.329,171.76,103.632,133.339,100.138,181.44,66.9748,136.028,110.985,123.702,88.1268,140.488,103.028,117.436,84.2697,161.693,104.19,159.14,83.4126,108.531,87.7558,97.2446,41.2123,119.224,106.045,125.506,90.3839,99.4127,87.7686,115.164,73.991,83.3216,92.7046,116.856,99.2801,105.246,115.308,173.534,66.769,117.538,99.5654,120.044
